バジュラ,バジュラ+粘土＝ヴァジュラEX,雷を帯びたもの
コーモリンの鼻,鼻+粘土＝拡声器,大きな音を出すコーモリンの鼻
ランプマンの体,,ランプの本体
キーベン,キーベン+王冠かけら＝岩扉の鍵？,魔界の鍵素材
ぽきぼーんノーマル,色々な中間素材,ぽきぼーんノーマルの粘土
ぽきぼーんダーク,色々な中間素材,ぽきぼーんのダーク粘土
ぽきぼーんファイア,色々な中間素材,ぽきぼーんファイアの粘土
ぽきぼーんサンダー,色々な中間素材,ぽきぼーんサンダーの粘土
ぽきぼーんウォーター,色々な中間素材,ぽきぼーんウォーターの粘土
ロープスネークの体,粘土+体＝はしご？,ロープになる不思議な蛇の体
シールドリザードのえら,粘土＋エラ＝バリア？,硬質な襟を持つ
ぼっこりー,結晶+ぼっこりーの液＝栄養剤,魔界の栄養を吸って育った魔物
王冠かけら,キーベン+王冠かけら＝岩扉の鍵？,王冠の目には不思議な力が込められている
がーすの残骸,,がーすの不思議な煙
アイスタートルの結晶,結晶+ぼっこりーの液＝栄養剤,透き通った水の結晶
クラウベアの雲,魔法の粉+雲＝移動雲？,クラウベアが乗っている雲
ソフリン魔法の粉,魔法の粉+雲＝移動雲？,飛んでいるソフリンが落とす不思議な粉
ひーりあ草,これだけで混ぜると？,魔界に生息する回復薬の元
けむりんだま,,煙幕のもとになる
火薬,,かやく
@,,
